id,offered,picked,pickRate,games,avgPlacement,winRate,place1,place2,place3,place4,power,sampleFlag
omni_chi,686,224,0.3265,226,2.624,0.1947,44,58,63,61,30,OK
broken_wall,623,198,0.3178,199,2.427,0.2864,57,45,52,45,33,OK
counter,457,144,0.3151,150,2.427,0.2533,38,42,38,32,27,OK
pseudo_dealer,641,196,0.3058,201,2.502,0.2537,51,49,50,51,29,OK
hidden_river,679,206,0.3034,208,2.49,0.2308,48,62,46,52,30,OK
tile_split,668,202,0.3024,207,2.164,0.401,83,45,41,38,30,OK
nagashi_yakuman,439,131,0.2984,135,2.6,0.237,32,28,37,38,28,OK
palm_flip,614,178,0.2899,185,2.514,0.227,42,48,53,42,29,OK
honor_return,636,180,0.283,188,2.601,0.2074,39,46,54,49,27,OK
alchemist,675,185,0.2741,197,2.594,0.2234,44,47,51,55,30,OK
haitei_lord,406,109,0.2685,119,2.622,0.2017,24,31,30,34,27,OK
peek_riichi_waits,685,182,0.2657,188,2.441,0.25,47,55,42,44,26,OK
meld_dissolve,429,114,0.2657,120,2.533,0.225,27,33,29,31,28,OK
no_ron_pact,299,79,0.2642,84,2.381,0.3333,28,16,20,20,27,OK
full_hand_swap,703,183,0.2603,186,2.398,0.2849,53,49,41,43,27,OK
giant_god,465,121,0.2602,127,2.409,0.2677,34,31,38,24,27,OK
siege_riichi,705,183,0.2596,187,2.599,0.1979,37,53,45,52,28,OK
future_sight,720,186,0.2583,188,2.553,0.2181,41,53,43,51,27,OK
snake_kan,401,102,0.2544,107,2.561,0.2336,25,24,31,27,28,OK
push_riichi,702,172,0.245,176,2.773,0.1364,24,44,56,52,26,OK
parasite,695,168,0.2417,175,2.154,0.3543,62,52,33,28,26,OK
blind_ron,677,157,0.2319,165,2.806,0.1636,27,36,44,58,26,OK
ura_peek,679,157,0.2312,164,2.567,0.2195,36,44,39,45,25,OK
seat_swap,403,90,0.2233,92,2.337,0.2826,26,27,21,18,26,OK
blame_shift,649,144,0.2219,145,2.317,0.3448,50,28,38,29,25,OK
void_kan,394,85,0.2157,93,2.462,0.2151,20,28,27,18,26,OK
dora_conceal,702,150,0.2137,152,2.684,0.1908,29,33,47,43,24,OK
rank_gate,426,91,0.2136,97,2.485,0.2474,24,27,21,25,24,OK
honba_hunter,731,151,0.2066,155,2.6,0.2,31,41,42,41,24,OK
scapegoat,723,149,0.2061,152,2.572,0.2237,34,40,35,43,23,OK
karma,656,135,0.2058,141,2.447,0.2411,34,39,39,29,24,OK
reload,173,35,0.2023,36,2.417,0.3056,11,9,6,10,24,LOW
last_stand,734,146,0.1989,152,2.349,0.2763,42,45,35,30,25,OK
discard_lock,699,122,0.1745,126,2.492,0.2222,28,32,42,24,23,OK
tenpai_scan,715,123,0.172,131,2.534,0.2061,27,37,37,30,22,OK
triple_peek,708,120,0.1695,124,2.589,0.2258,28,29,33,34,21,OK
avenger,378,63,0.1667,70,2.857,0.1571,11,14,19,26,22,OK
yakuman_shield,647,102,0.1577,109,2.679,0.1284,14,38,26,31,21,OK
danger_sense,691,107,0.1548,110,2.555,0.2,22,31,31,26,22,OK
always_tenpai,692,95,0.1373,99,2.061,0.4242,42,25,16,16,20,OK
brief_fog,722,89,0.1233,95,2.526,0.2105,20,25,30,20,20,OK
bottom_yaku,410,49,0.1195,55,2.873,0.1455,8,12,14,21,21,LOW
call_seal,671,79,0.1177,84,2.429,0.2262,19,27,21,17,20,OK
disarm,688,77,0.1119,82,2.585,0.2439,20,21,14,27,18,OK
time_pressure,711,70,0.0985,75,2.533,0.2,15,24,17,19,18,OK
die_hard,644,53,0.0823,61,2.393,0.2787,17,17,13,14,16,OK
frame_up,426,0,0.0,5,2.6,0.2,1,1,2,1,33,TOO_SMALL
hand_swap3,612,0,0.0,4,2.25,0.5,2,0,1,1,35,TOO_SMALL
